Artist,Primary Artist 1,Primary Artist 2,Primary Artist 3,Primary Artist 4,Primary Artist 5,Primary Artist 6,Primary Artist 7,Primary Artist 8,Secondary Artist 1,Secondary Artist 2,Secondary Artist 3,Secondary Artist 4,Secondary Artist 5,Secondary Artist 6,Secondary Artist 7,Secondary Artist 8,Secondary Artist 9,Highlight Red
24kGoldn,24kGoldn,,,,,,,,,,,,,,,,,False
24kGoldn Featuring iann dior,24kGoldn,,,,,,,,iann dior,,,,,,,,,False
2Gether,2Gether,,,,,,,,,,,,,,,,,False
2Pac,2Pac,,,,,,,,,,,,,,,,,False
2Pac + Outlawz,2Pac,Outlawz,,,,,,,,,,,,,,,,False
2Pac Duet With Mopreme,2Pac,Mopreme,,,,,,,,,,,,,,,,False
2Pac Featuring Eric Williams,2Pac,,,,,,,,Eric Williams,,,,,,,,,False
2Pac Featuring K-Ci And JoJo,2Pac,,,,,,,,K-Ci,JoJo,,,,,,,,False
2Pac Featuring Nate Dogg,2Pac,,,,,,,,Nate Dogg,,,,,,,,,False
2Pac Featuring Trick Daddy,2Pac,,,,,,,,Trick Daddy,,,,,,,,,False
"2Pac, Notorious B.I.G., Radio, Dramacydal & Stretch",2Pac,Notorious B.I.G.,Radio,Dramacydal,Stretch,,,,,,,,,,,,,False
2nd II None,2nd II None,,,,,,,,,,,,,,,,,False
2nu,2nu,,,,,,,,,,,,,,,,,False
3 Doors Down,3 Doors Down,,,,,,,,,,,,,,,,,False
3 Man Island,3 Man Island,,,,,,,,,,,,,,,,,False
30 Seconds To Mars,30 Seconds To Mars,,,,,,,,,,,,,,,,,False
310babii,310babii,,,,,,,,,,,,,,,,,False
311,311,,,,,,,,,,,,,,,,,False
38 Special,38 Special,,,,,,,,,,,,,,,,,False
3LW,3LW,,,,,,,,,,,,,,,,,False
3LW Featuring P. Diddy & Loon,3LW,,,,,,,,P. Diddy,Loon,,,,,,,,False
3OH!3,3OH!3,,,,,,,,,,,,,,,,,False
3OH!3 Featuring Katy Perry,3OH!3,,,,,,,,Katy Perry,,,,,,,,,False
3OH!3 Featuring Ke$ha,3OH!3,,,,,,,,KeSha,,,,,,,,,False
3OH!3 Featuring Neon Hitch,3OH!3,,,,,,,,Neon Hitch,,,,,,,,,False
3T,3T,,,,,,,,,,,,,,,,,False
3rd Bass,3rd Bass,,,,,,,,,,,,,,,,,False
3rd Party,3rd Party,,,,,,,,,,,,,,,,,False
4,4,,,,,,,,,,,,,,,,,False
4 By Four,4 By Four,,,,,,,,,,,,,,,,,False
4 Non Blondes,4 Non Blondes,,,,,,,,,,,,,,,,,False
4 The Cause,4 The Cause,,,,,,,,,,,,,,,,,False
4*TOWN (From Disney And Pixar's Turning Red),4*TOWN (From Disney And Pixar's Turning Red),,,,,,,,,,,,,,,,,True
42 Dugg & EST Gee,42 Dugg,EST Gee,,,,,,,,,,,,,,,,False
42 Dugg & Roddy Ricch,42 Dugg,Roddy Ricch,,,,,,,,,,,,,,,,False
42 Dugg Featuring Future,42 Dugg,,,,,,,,Future,,,,,,,,,False
49-ers,49-ers,,,,,,,,,,,,,,,,,False
4PM,4PM,,,,,,,,,,,,,,,,,False
4batz Featuring Drake,4batz,,,,,,,,Drake,,,,,,,,,False
5 Satins,5 Satins,,,,,,,,,,,,,,,,,False
5 Seconds Of Summer,5 Seconds Of Summer,,,,,,,,,,,,,,,,,False
5 Stairsteps and Cubie,5 Stairsteps,Cubie,,,,,,,,,,,,,,,,False
50 Cent,50 Cent,,,,,,,,,,,,,,,,,False
50 Cent & Olivia,50 Cent,Olivia,,,,,,,,,,,,,,,,False
50 Cent Feat. Mobb Deep,50 Cent,,,,,,,,. Mobb Deep,,,,,,,,,False
50 Cent Featuring Akon,50 Cent,,,,,,,,Akon,,,,,,,,,False
50 Cent Featuring Dr. Dre & Alicia Keys,50 Cent,,,,,,,,Dr. Dre,Alicia Keys,,,,,,,,False
50 Cent Featuring Eminem & Adam Levine,50 Cent,,,,,,,,Eminem,Adam Levine,,,,,,,,False
50 Cent Featuring Justin Timberlake & Timbaland,50 Cent,,,,,,,,Justin Timberlake,Timbaland,,,,,,,,False
50 Cent Featuring Nate Dogg,50 Cent,,,,,,,,Nate Dogg,,,,,,,,,False
50 Cent Featuring Ne-Yo,50 Cent,,,,,,,,Ne-Yo,,,,,,,,,False
50 Cent Featuring Olivia,50 Cent,,,,,,,,Olivia,,,,,,,,,False
5000 Volts,5000 Volts,,,,,,,,,,,,,,,,,False
504 Boyz,504 Boyz,,,,,,,,,,,,,,,,,False
69 Boyz,69 Boyz,,,,,,,,,,,,,,,,,False
69 Boyz Featuring Quad City DJ's,69 Boyz,,,,,,,,Quad City DJ's,,,,,,,,,False
6LACK,6LACK,,,,,,,,,,,,,,,,,False
6LACK Featuring J. Cole,6LACK,,,,,,,,J. Cole,,,,,,,,,False
6LACK Featuring Lil Baby,6LACK,,,,,,,,Lil Baby,,,,,,,,,False
6ix9ine,6ix9ine,,,,,,,,,,,,,,,,,False
6ix9ine & Nicki Minaj,6ix9ine,Nicki Minaj,,,,,,,,,,,,,,,,False
6ix9ine Featuring A Boogie Wit da Hoodie,6ix9ine,,,,,,,,A Boogie Wit da Hoodie,,,,,,,,,False
6ix9ine Featuring Anuel AA,6ix9ine,,,,,,,,Anuel AA,,,,,,,,,False
6ix9ine Featuring Bobby Shmurda,6ix9ine,,,,,,,,Bobby Shmurda,,,,,,,,,False
6ix9ine Featuring DJ SPINKING,6ix9ine,,,,,,,,DJ SPINKING,,,,,,,,,False
6ix9ine Featuring Lil Baby,6ix9ine,,,,,,,,Lil Baby,,,,,,,,,False
6ix9ine Featuring Nicki Minaj & Kanye West,6ix9ine,,,,,,,,Nicki Minaj,Kanye West,,,,,,,,False
6ix9ine Featuring Nicki Minaj & Murda Beatz,6ix9ine,,,,,,,,Nicki Minaj,Murda Beatz,,,,,,,,False
6ix9ine Featuring Tory Lanez,6ix9ine,,,,,,,,Tory Lanez,,,,,,,,,False
6ix9ine Featuring Tory Lanez & Young Thug,6ix9ine,,,,,,,,Tory Lanez,Young Thug,,,,,,,,False
"6ix9ine, Fetty Wap & A Boogie Wit da Hoodie",6ix9ine,Fetty Wap,A Boogie Wit da Hoodie,,,,,,,,,,,,,,,False
7 Mile,7 Mile,,,,,,,,,,,,,,,,,False
702,702,,,,,,,,,,,,,,,,,False
707,707,,,,,,,,,,,,,,,,,False
9.9,9.9,,,,,,,,,,,,,,,,,False
95 South,95 South,,,,,,,,,,,,,,,,,False
98 Degrees,98 Degrees,,,,,,,,,,,,,,,,,False
? (Question Mark) & The Mysterians,? (Question Mark) & The Mysterians,,,,,,,,,,,,,,,,,True
A Boogie Wit da Hoodie,A Boogie Wit da Hoodie,,,,,,,,,,,,,,,,,False
A Boogie Wit da Hoodie Featuring 21 Savage,A Boogie Wit da Hoodie,,,,,,,,21 Savage,,,,,,,,,False
A Boogie Wit da Hoodie Featuring 6ix9ine,A Boogie Wit da Hoodie,,,,,,,,6ix9ine,,,,,,,,,False
A Boogie Wit da Hoodie Featuring DJ SPINKING,A Boogie Wit da Hoodie,,,,,,,,DJ SPINKING,,,,,,,,,False
A Boogie Wit da Hoodie Featuring DaBaby,A Boogie Wit da Hoodie,,,,,,,,DaBaby,,,,,,,,,False
A Boogie Wit da Hoodie Featuring Juice WRLD,A Boogie Wit da Hoodie,,,,,,,,Juice WRLD,,,,,,,,,False
A Boogie Wit da Hoodie Featuring Kodak Black,A Boogie Wit da Hoodie,,,,,,,,Kodak Black,,,,,,,,,False
A Boogie Wit da Hoodie Featuring Lil Durk,A Boogie Wit da Hoodie,,,,,,,,Lil Durk,,,,,,,,,False
A Boogie Wit da Hoodie Featuring Lil Uzi Vert,A Boogie Wit da Hoodie,,,,,,,,Lil Uzi Vert,,,,,,,,,False
A Boogie Wit da Hoodie Featuring Offset & Tyga,A Boogie Wit da Hoodie,,,,,,,,Offset,Tyga,,,,,,,,False
A Boogie Wit da Hoodie Featuring PnB Rock & YoungBoy Never Broke Again,A Boogie Wit da Hoodie,,,,,,,,PnB Rock,YoungBoy Never Broke Again,,,,,,,,False
"A Boogie Wit da Hoodie Featuring Roddy Ricch, Gunna & London On Da Track",A Boogie Wit da Hoodie,,,,,,,,Roddy Ricch,Gunna,London On Da Track,,,,,,,False
A Boogie Wit da Hoodie Featuring Young Thug,A Boogie Wit da Hoodie,,,,,,,,Young Thug,,,,,,,,,False
A Few Good Men,A Few Good Men,,,,,,,,,,,,,,,,,False
A Flock Of Seagulls,A Flock Of Seagulls,,,,,,,,,,,,,,,,,False
A Great Big World & Christina Aguilera,A Great Big World,Christina Aguilera,,,,,,,,,,,,,,,,False
A Great Big World Featuring FUTURISTIC,A Great Big World,,,,,,,,FUTURISTIC,,,,,,,,,False
A Perfect Circle,A Perfect Circle,,,,,,,,,,,,,,,,,False
A R Rahman & The Pussycat Dolls Featuring Nicole Scherzinger,A R Rahman & The Pussycat Dolls,,,,,,,,Nicole Scherzinger,,,,,,,,,False
A Rocket To The Moon,A Rocket To The Moon,,,,,,,,,,,,,,,,,False
A Taste Of Honey,A Taste Of Honey,,,,,,,,,,,,,,,,,False
A Thousand Horses,A Thousand Horses,,,,,,,,,,,,,,,,,False
A Tribe Called Quest,A Tribe Called Quest,,,,,,,,,,,,,,,,,False
A$AP Ferg,ASAP Ferg,,,,,,,,,,,,,,,,,False
A$AP Ferg Featuring  Nicki Minaj & MadeinTYO,ASAP Ferg,,,,,,,,Nicki Minaj,MadeinTYO,,,,,,,,False
A$AP Ferg Featuring Future,ASAP Ferg,,,,,,,,Future,,,,,,,,,False
